,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
0,肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台), 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.6,929218人评价,希望让人自由。
1,霸王别姬,,再见，我的妾  /  Farewell My Concubine, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 香港,剧情 爱情 同性,9.5,671407人评价,风华绝代。
2,这个杀手不太冷,Léon,杀手莱昂  /  终极追杀令(台), 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国,剧情 动作 犯罪,9.4,881594人评价,怪蜀黍和小萝莉不得不说的故事。
3,阿甘正传,Forrest Gump,福雷斯特·冈普, Robert Zemeckis, Tom Hanks / Robin Wright Penn / Gary Sinise,1994,美国,剧情 爱情,9.4,749630人评价,一部美国近现代史。
4,美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,9.5,437807人评价,最美的谎言。
5,千与千寻,千と千尋の神隠し,神隐少女(台)  /  Spirited Away, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi H?ragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,9.2,699770人评价,最好的宫崎骏，最好的久石让。
6,辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,9.4,401912人评价,拯救一个人，就是拯救整个世界。
7,泰坦尼克号,Titanic,铁达尼号(港 / 台), 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国,剧情 爱情 灾难,9.2,689715人评价,失去的才是永恒的。
8,盗梦空间,Inception,潜行凶间(港)  /  全面启动(台), 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 动作 科幻 悬疑 冒险,9.3,797788人评价,诺兰给了我们一场无法盗取的梦。
9,机器人总动员,WALL·E,瓦力(台)  /  太空奇兵·威E(港), 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,喜剧 爱情 科幻 动画 冒险,9.3,522051人评价,小瓦力，大人生。
10,海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,9.2,622885人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
11,三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港), 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,9.1,707576人评价,英俊版憨豆，高情商版谢耳朵。
12,忠犬八公的故事,Hachi: A Dog's Tale,忠犬小八(台)  /  秋田犬八千(港), 莱塞·霍尔斯道姆 Lasse Hallstr?m, 理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.2,482413人评价,永远都不能忘记你所爱的人。
13,放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩, 克里斯托夫·巴拉蒂 Christophe Barratier, 杰拉尔·朱诺 Géra...,2004,法国 瑞士 德国,剧情 音乐,9.2,475466人评价,天籁一般的童声，是最接近上帝的存在。
14,大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,香港 中国大陆,喜剧 爱情 奇幻 冒险,9.2,514482人评价,一生所爱。
15,教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...,1972,美国,剧情 犯罪,9.2,359882人评价,千万不要记恨你的对手，这样会让你失去理智。
16,龙猫,となりのトトロ,邻家的豆豆龙  /  隔壁的特特罗, 宫崎骏 Hayao Miyazaki, 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,儿童 动画 奇幻 家庭,9.1,438658人评价,人人心中都有个龙猫，童年就永远不会消失。
17,楚门的世界,The Truman Show,真人Show(港)  /  真人戏, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,9.1,482863人评价,如果再也不能见到你，祝你早安，午安，晚安。
18,乱世佳人,Gone with the Wind,飘, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 托...,1939,美国,剧情 历史 爱情 战争,9.2,282050人评价,Tomorrow is another day.
19,熔炉,???,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,2011,韩国,剧情,9.2,280199人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
20,触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,NaN,2011,法国,剧情 喜剧,9.1,383892人评价,满满温情的高雅喜剧。
21,天堂电影院,Nuovo Cinema Paradiso,星光伴我心(港)  /  新天堂乐园(台), 朱塞佩·托纳多雷 Giuseppe Tornatore, 安东娜拉·塔莉 Antonel...,1988,意大利 法国,剧情 爱情,9.1,321171人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
22,当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,8.9,563974人评价,平民励志片。
23,无间道,無間道,Infernal Affairs  /  Mou gaan dou, 刘伟强 / 麦兆辉, 刘德华 / 梁朝伟 / 黄秋生,2002,香港,剧情 犯罪 悬疑,9.0,420912人评价,香港电影史上永不过时的杰作。
24,星际穿越,Interstellar,星际启示录(港)  /  星际效应(台), 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,9.1,510567人评价,爱是一种力量，让我们超越时空感知它的存在。
25,十二怒汉,12 Angry Men,12怒汉  /  十二怒汉, Sidney Lumet, 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,9.4,179452人评价,1957年的理想主义。
26,搏击俱乐部,Fight Club,搏击会(港)  /  斗阵俱乐部(台), 大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉...,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,416749人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
27,怦然心动,Flipped,萌动青春  /  青春萌动, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,8.9,578162人评价,真正的幸福是来自内心深处。
28,指环王3：王者无敌,The Lord of the Rings: The Return of the King,魔戒三部曲：王者再临(台 / 港), 彼得·杰克逊 Peter Jackson, 维果·莫腾森 Viggo Mortensen / ...,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.1,295961人评价,史诗的终章。
29,少年派的奇幻漂流,Life of Pi,少年Pi的奇幻漂流  /  漂流少年Pi, 李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险,9.0,601701人评价,瑰丽壮观、无人能及的冒险之旅。
30,鬼子来了,Devils on the Doorstep,, 姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 战争,9.2,240862人评价,对敌人的仁慈，就是对自己残忍。
31,天空之城,天空の城ラピュタ,Tenk? no shiro Rapyuta  /  Laputa: Castle in the Sky, 宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,9.0,346828人评价,对天空的追逐，永不停止。
32,蝙蝠侠：黑暗骑士,The Dark Knight,蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台), 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.0,338340人评价,无尽的黑暗。
33,活着,,人生  /  Lifetimes, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 香港,剧情 历史 家庭,9.1,281890人评价,张艺谋最好的电影。
34,罗马假日,Roman Holiday,金枝玉叶(港)  /  罗马假期(台), 威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,8.9,400466人评价,爱情哪怕只有一天。
35,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,西游记101回月光宝盒  /  齐天大圣东游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,香港 中国大陆,喜剧 动作 爱情 奇幻 冒险 古装,8.9,415314人评价,旷古烁今。
36,飞屋环游记,Up,冲天救兵(港)  /  天外奇迹(台), 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德...,2009,美国,剧情 喜剧 动画 冒险,8.9,517456人评价,最后那些最无聊的事情，才是最值得怀念的。
37,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",够姜四小强(港)  /  两根枪管(台), Guy Ritchie, Jason Flemyng / Dexter Fletcher / Nick Moran,1998,英国,剧情 喜剧 犯罪,9.1,282463人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
38,窃听风暴,Das Leben der Anderen,他人的生活  /  别人的生活, 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck,NaN,2006,德国,剧情 悬疑,9.1,232413人评价,别样人生。
39,飞越疯人院,One Flew Over the Cuckoo's Nest,飞越杜鹃窝  /  飞越喜鹊巢, 米洛斯·福尔曼 Milo? Forman, 杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.0,286592人评价,自由万岁。
40,海豚湾,The Cove,血色海湾(台)  /  海湾, Louie Psihoyos, John Chisholm / Mandy-Rae Cruikshank / Char...,2009,美国,纪录片,9.3,186897人评价,海豚的微笑，是世界上最高明的伪装。
41,闻香识女人,Scent of a Woman,女人香  /  女人的芳香, 马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,8.9,334244人评价,史上最美的探戈。
